model,task,Accuracy,F1,Rouge_L
deepseek_v3,1_1,0.528,0.758,
deepseek_v3,1_2,0.884,0.884,
deepseek_v3,1_3,0.17,0.5229,
deepseek_v3,2_1,0.918,0.9363,
deepseek_v3,2_2,0.5767,0.6568,
deepseek_v3,2_3,0.96,0.9667,
deepseek_v3,2_4,0.884,0.8955,
deepseek_v3,2_5,0.966,0.966,
deepseek_v3,3_1,0.815,0.9191,
deepseek_v3,3_2,0.974,0.974,
deepseek_v3,3_3,0.559,0.559,
deepseek_v3,3_4,0.498,0.7027,
deepseek_v3,3_5,0.8514,0.8514,
deepseek_v3,3_6,0.622,0.622,
deepseek_v3,4_1,0.108,0.108,
deepseek_v3,4_2,0.3567,0.618,
deepseek_v3,5_1,,,0.2257
deepseek_v3,5_2,,,0.1243
deepseek_v3,5_3,,,0.3496
deepseek_v3,5_4,,,0.146
deepseek_v3,6_1,0.399,0.7194,
deepseek_v3,6_2,0.567,0.7717,
deepseek_v3,6_3,0.766,0.876,
