model,task,Accuracy,F1,Rouge_L
deepseek_v3_with_retriever,1_1,0.53,0.7645,
deepseek_v3_with_retriever,1_2,0.71,0.71,
deepseek_v3_with_retriever,1_3,0.17,0.5174,
deepseek_v3_with_retriever,2_1,0.904,0.9263,
deepseek_v3_with_retriever,2_2,0.57,0.6368,
deepseek_v3_with_retriever,2_3,0.97,0.97,
deepseek_v3_with_retriever,2_4,0.902,0.9127,
deepseek_v3_with_retriever,2_5,0.96,0.96,
deepseek_v3_with_retriever,3_1,0.815,0.9194,
deepseek_v3_with_retriever,3_2,0.966,0.966,
deepseek_v3_with_retriever,3_3,0.57,0.57,
deepseek_v3_with_retriever,3_4,0.486,0.6902,
deepseek_v3_with_retriever,3_5,0.869,0.869,
deepseek_v3_with_retriever,3_6,0.634,0.634,
deepseek_v3_with_retriever,4_1,0.152,0.152,
deepseek_v3_with_retriever,4_2,0.38,0.6347,
deepseek_v3_with_retriever,5_1,,,0.2196
deepseek_v3_with_retriever,5_2,,,0.1276
deepseek_v3_with_retriever,5_3,,,0.1768
deepseek_v3_with_retriever,5_4,,,0.1443
deepseek_v3_with_retriever,6_1,0.44,0.7219,
deepseek_v3_with_retriever,6_2,0.619,0.8038,
deepseek_v3_with_retriever,6_3,0.78,0.8826,
